fid,DN,ZS_Coastlinecount,ZS_Coastlinesum,ZS_Coastlinemean
"264","2",0.937890000094806,689.200474994251,734.841479197543
"265","2",30,50540.3879394531,1684.67959798177
"267","2",2,363.635498046875,181.817749023438
"268","2",4,1170.11517333984,292.528793334961
"269","2",0.937890000081199,1675.54508757731,1786.50490721966
"270","2",2,442.927459716797,221.463729858398
"271","2",0.93789000009675,394.092698578158,420.190745756437
"272","2",3,1618.83972167969,539.613240559896
"273","2",25,29753.4741210938,1190.13896484375
"275","2",0.93789000009675,1264.74937379663,1348.50502048871
"277","2",2,173.730438232422,86.8652191162109
"278","2",3,443.789535522461,147.929845174154
"280","2",2,2801.64453125,1400.822265625
"282","2",4,8816.68627929688,2204.17156982422
"284","2",0.937890000081199,159.529825453647,170.09438787047
"285","2",0.937890000079256,388.739437312235,414.482974847141
"287","2",0.937890000079256,1217.44199870601,1298.06480355173
"288","2",0.937890000081199,1383.0601658384,1474.65072206619
"289","2",0.937890000081199,1633.97581328914,1742.18278598522
"290","2",0.937890000081199,1694.04469265639,1806.22961382436
"291","2",2,3863.57702636719,1931.78851318359
"292","2",0.93789000009675,395.306549778453,421.484981967687
"293","2",7,7318.08911132812,1045.4413016183
"296","2",0.93789000009675,1229.28386159544,1310.69087149733
"297","2",0.93789000009675,1767.74413914247,1884.80966740249
"300","2",0.93789000009675,2073.89772415042,2211.23769731683
"301","2",2,70.0121917724609,35.0060958862305
"302","2",0.937890000094806,111.908781324392,119.319729726385
"303","2",1.8757800001935,525.581395641659,280.193517143504
"304","2",0.937890000094806,1076.21892180565,1147.48949418041
"307","2",0.93789000009675,1652.357006423,1761.78123900729
"309","2",98,221247.578735352,2257.62835444236
"310","2",19,36046.9045410156,1897.20550215872
"311","2",38,87361.2316894531,2298.9797813014
"312","2",4,4941.94494628906,1235.48623657227
"314","2",5,11138.3757324219,2227.67514648438
"315","2",7,2101.19253540039,300.170362200056
"316","2",3,29,9.66666666666667
"317","2",0.93789000009675,393.637995767579,419.705931108096
"318","2",0.93789000009675,1299.87696441898,1385.95886968076
"320","2",2,3416.29809570312,1708.14904785156
"321","2",0.937890000094806,1742.58415415347,1857.98350976908
"323","2",4,435.847373962402,108.961843490601
"324","2",0.937890000079256,264.46429999164,281.977950473181
"327","2",2,3828.15014648438,1914.07507324219
"328","2",0.937890000094806,196.479777956568,209.491281426081
"329","2",0.93789000009675,32.6494041415995,34.8115494761982
"330","2",2,3388.08117675781,1694.04058837891
"331","2",5,10626.0812988281,2125.21625976563
"332","2",0.93789000009675,264.531751150555,282.049868452874
"333","2",0.937890000094806,1681.9533790381,1793.33757569446
"334","2",0.93789000009675,1746.95252856875,1862.64117155375
"335","2",2,701.564147949219,350.782073974609
"337","2",4,6418.9013671875,1604.72534179688
"339","2",2,3625.07421875,1812.537109375
"340","2",6,11237.0130615234,1872.83551025391
"343","2",0.93789000009675,7.62944571690567,8.13469139890461
"344","2",0.93789000009675,124.910595573085,133.182564650652
"345","2",0.93789000009675,382.114962529216,407.419806682871
"346","2",2,1137.07183837891,568.535919189453
"347","2",0.93789000009675,1624.93818586286,1732.54665866491
"348","2",0.93789000009675,1705.50273735672,1818.446445938
"351","2",5,1378.70188903809,275.740377807617
"352","2",4,245.882545471191,61.4706363677979
"353","2",2,29,14.5
"355","2",2,2815.45568847656,1407.72784423828
"356","2",0.93789000009675,1378.41223628984,1469.69499210744
"358","2",0.937890000094806,1570.66225492153,1674.67640636189
"359","2",0.93789000009675,1652.31305685718,1761.7343789642
"360","2",2,105.85816192627,52.9290809631348
"361","2",0.937890000081199,147.203564417747,156.951843398483
"366","2",15,6180.24536132812,412.016357421875
"367","2",2,713.777282714844,356.888641357422
"368","2",3,572.757476806641,190.919158935547
"369","2",9,4111.70941162109,456.856601291233
"371","2",4,7340.30908203125,1835.07727050781
"373","2",0.93789000009675,43.6847599187397,46.5777009182668
"374","2",2,301.169784545898,150.584892272949
"376","2",0.93789000009675,1319.69535418459,1407.08969500523
"377","2",0.937890000094806,1495.81964428376,1594.87748470775
"378","2",0.937890000094806,1577.80445866138,1682.29158910095
"379","2",0.93789000009675,301.496817505594,321.462876749397
"380","2",2,516.834228515625,258.417114257812
"381","2",2,274.691940307617,137.345970153809
"382","2",10,3201.53286743164,320.153286743164
"384","2",6,8909.802734375,1484.96712239583
"385","2",0.93789000009675,1458.747593602,1555.35040724554
"388","2",2,644.333862304688,322.166931152344
"389","2",0.937890000094806,404.511773078698,431.299803855259
"391","2",2,7033.64453125,3516.822265625
"392","2",0.937890000079256,35.0027523823107,37.3207437752326
"393","2",0.937890000081199,1176.97588739486,1254.91890018335
"394","2",0.937890000079256,1384.62431230171,1476.31845118799
"395","2",2,3335.08056640625,1667.54028320312
"397","2",8,3491.60098266602,436.450122833252
"399","2",10,2136.46357727051,213.646357727051
"400","2",2,156.552024841309,78.2760124206543
"401","2",3,1168.95666503906,389.652221679688
"402","2",11,14604.7602539062,1327.70547762784
"403","2",20,31553.3863525391,1577.66931762695
"405","2",0.937890000094806,10.1642001894075,10.8373052153025
"406","2",0.937890000094806,53.2412333385352,56.7670338026349
"407","2",0.93789000009675,228.357144212979,243.479666260886
"408","2",0.93789000009675,1277.71167534254,1362.32572605608
"410","2",0.937890000081199,438.748295551469,467.803575593602
"411","2",2,674.63818359375,337.319091796875
"412","2",0.937890000081199,44.0007443837899,46.9146108605278
"413","2",0.937890000081199,67.2552830043126,71.7091375305098
"414","2",0.937890000081199,147.958077778004,157.756322985845
"415","2",4,1026.58235168457,256.645587921143
"416","2",3,4258.16015625,1419.38671875
"417","2",0.937890000081199,1388.56204690781,1480.51695485354
"419","2",0.937890000081199,1531.2792587876,1632.68534546165
"420","2",0.937890000081199,3226.86197508104,3440.55483564349
"421","2",2,29,14.5
"422","2",0.937890000094806,558.818313849269,595.825004843618
"423","2",0.937890000094806,1384.12291415558,1475.78384886891
"425","2",19,11132.7885131836,585.936237535979
"426","2",2,1089.44104003906,544.720520019531
"427","2",3,663.784881591797,221.261627197266
"429","2",0.93789000009675,54.3212355721839,57.918557151244
"430","2",3,394.262001037598,131.420667012533
"432","2",0.93789000009675,1267.42575501248,1351.35864001294
"433","2",0.937890000094806,1504.03577931061,1603.63771781187
"435","2",2,3772.83166503906,1886.41583251953
"439","2",0.937890000081199,19.5700433882463,20.8660326760622
"440","2",0.937890000081199,1293.99072519502,1379.6828253665
"441","2",166,316751.54296875,1908.14182511295
"442","2",3,9998.6953125,3332.8984375
"443","2",0.937890000081199,3181.37168906578,3392.05204106062
"444","2",0.93789000009675,301.38567253347,321.344371410698
"445","2",0.937890000094806,183.988894266368,196.173212474565
"446","2",0.93789000009675,36.7043575724143,39.1350345654906
"447","2",0.937890000094806,1240.96348748625,1323.1439586314
"448","2",9,14571.8586425781,1619.0954047309
"451","2",2,597.956451416016,298.978225708008
"452","2",0.93789000009675,219.026677408016,233.531306854133
"453","2",7,882.017158508301,126.002451215472
"454","2",0.93789000009675,88.8060962829062,94.687112853048
"455","2",2,3680.32421875,1840.162109375
"457","2",3,116,38.6666666666667
"458","2",0.93789000009675,53.9736901637663,57.5479962023249
"459","2",0.93789000009675,651.935630498408,695.108840515579
"460","2",1.87578000017795,1430.89696271147,762.827710379535
"461","2",2,2912.35400390625,1456.17700195312
"466","2",0.93789000009675,3102.35735561148,3307.80513204262
"467","2",2,403.659881591797,201.829940795898
"468","2",0.937890000081199,91.6790442747082,97.7503164195918
"473","2",55,198126.830810547,3602.30601473722
"474","2",0.93789000009675,839.310305545931,894.892050730204
"475","2",0.937890000094806,57.3643253221463,61.1631697921373
"476","2",0.93789000009675,1188.56727984802,1267.27791076289
"477","2",0.93789000009675,1252.62886265964,1335.58185131564
"478","2",2.81367000028831,3918.54897839126,1392.68250291958
"481","2",0.93789000009675,3059.91162133668,3262.54850890939
"483","2",0.93789000009675,1343.7573489944,1432.74515013038
"484","2",0.937890000094806,2975.97928913244,3173.05791599401
"485","2",0.937890000094806,3023.11556832551,3223.31570655399
"487","2",7,4537.09106445312,648.155866350446
"488","2",2,1439.90716552734,719.953582763672
"489","2",2,3145.57482910156,1572.78741455078
"490","2",23,37959.9774169922,1650.43380073879
"491","2",19,33636.8726806641,1770.36172003495
"492","2",1.87578000017406,785.05841539118,418.523715637405
"493","2",4,1765.01797485352,441.254493713379
"495","2",2,6513.94653320312,3256.97326660156
"496","2",3,2944.16314697266,981.387715657552
"498","2",0.937890000079255,796.274301268849,849.006068090673
"499","2",0.937890000079256,725.654140723794,773.709220337644
"500","2",6,706.983810424805,117.830635070801
"503","2",0.937890000081199,1210.17747097518,1290.31919614284
"506","2",55,150915.474121094,2743.91771129261
"507","2",2,1868.01800537109,934.009002685547
"508","2",2,1660.15979003906,830.079895019531
"509","2",3,2140.15319824219,713.384399414062
"510","2",0.93789000009675,394.002693473053,420.09478023266
"511","2",0.937890000094806,348.957706764476,372.06677406647
"512","2",3,1727.52813720703,575.842712402344
"519","2",2,6391.94262695312,3195.97131347656
"520","2",2,818.097686767578,409.048843383789
"521","2",2,688.603515625,344.3017578125
"522","2",0.937890000094806,463.877212266942,494.596607512663
"524","2",0.93789000009675,2090.54795025041,2228.99055330023
"525","2",45,133710.997558594,2971.35550130208
"527","2",2.81367000028636,2506.44598288894,890.81021677519
"528","2",0.93789000009675,381.470690010041,406.732868428802
"529","2",0.93789000009675,428.605821513418,456.989435295402
"531","2",0.93789000009675,470.925631340475,502.111794871356
"532","2",0.93789000009675,536.565212918847,572.098234188973
