fid,DN,ZS_trackcount,ZS_tracksum,ZS_trackmean
"137","2",0.93789000009675,43.4157384818818,46.2908640431215
"139","2",0.937890000079255,21.8352624061279,23.2812615597594
"140","2",0.937890000081199,30.7252675937906,32.7599906077797
"141","2",0.937890000081199,40.5741671854248,43.2611150368508
"142","2",0.937890000079255,74.1887313631363,79.1017404566283
"143","2",0.937890000081199,83.0909565200308,88.5934987182262
"145","2",102,6066.88185882568,59.4792339100557
"148","2",0.937890000096749,33.2562575234154,35.4585905809688
"149","2",0.93789000009675,43.0183525565192,45.8671619828355
"150","2",0.93789000009675,55.3230746150545,58.9867410990069
"151","2",0.937890000094806,71.3476725702724,76.0725378915014
"153","2",0.937890000094806,54.2360297877969,57.8277087742854
"157","2",2,148.128227233887,74.0641136169434
"158","2",43,4119.51386260986,95.8026479676712
"160","2",0.937890000081199,78.0217296237691,83.1885718122746
"161","2",0.937890000094806,21.2009160706991,22.6049068318844
"162","2",0.937890000094806,66.3524636969528,70.7465307128188
"164","2",3,267.808326721191,89.2694422403971
"165","2",0.93789000009675,24.4905315131091,26.1123708650084
"167","2",0.93789000009675,82.0183737549389,87.4498861769271
"168","2",16,367.450559616089,22.9656599760056
"171","2",0.937890000081199,62.3851758732317,66.5165167213966
"172","2",0.937890000081199,76.5066681840481,81.5731782804214
"174","2",0.937890000096749,41.7786013206294,44.5453105548834
"175","2",2,172.386306762695,86.1931533813477
"176","2",0.937890000094806,40.7341949925884,43.4317403837026
"177","2",3,115.437664031982,38.4792213439941
"178","2",2,191.125778198242,95.5628890991211
"179","2",12,250.569524765015,20.8807937304179
"180","2",2,50.8130760192871,25.4065380096436
"181","2",0.937890000079255,40.3652424891653,43.0383546959178
"183","2",2,48.5178241729736,24.2589120864868
"184","2",0.93789000009675,36.5962278079468,39.0197441108996
"185","2",0.93789000009675,41.0484288948266,43.7667838345565
"187","2",14,199.085837364197,14.2204169545855
"188","2",4,71.0672950744629,17.7668237686157
"189","2",17,1556.57299804688,91.5631175321691
"190","2",7,182.951854705811,26.1359792436872
"191","2",5,162.59481048584,32.518962097168
"193","2",0.937890000081199,32.6580015819311,34.8207162664105
