fid,DN,ZS_count,ZS_sum,ZS_mean,ZS_track_count,ZS_track_sum,ZS_track_mean
"193","2",3,761.235168457031,253.745056152344,3,21773.9609375,7257.98697916667
"194","2",4,1002.65846252441,250.664615631104,4,29048.763671875,7262.19091796875
"195","2",2,499.384765625,249.6923828125,2,14527.8911132812,7263.94555664062
"201","2",1.01923475768349,380.338604070292,373.1609437405,1.01923475768349,7261.99868007124,7124.95195569689
"208","2",17,6455.92935180664,379.760550106273,17,120965.340820312,7115.60828354779
"212","2",1.01923475768349,380.509276524534,373.328395304485,1.01923475768349,7260.54399581759,7123.52472390099
"213","2",1.01923475768349,257.19140530001,252.337749827677,1.01923475768349,7394.90723475205,7255.35229151636
"217","2",1.01923475768349,349.908842969122,343.305445905702,1.01923475768349,7286.7411342866,7149.22747615852
"218","2",1.01923475768349,342.329466473197,335.869105613352,1.01923475768349,7293.85672361488,7156.20878176514
"219","2",2,502.451812744141,251.22590637207,2,14510.99609375,7255.498046875
"220","2",1.01923475768349,251.66238526303,246.913072151313,1.01923475768349,7402.11653730886,7262.42554181759
"235","2",1.01923475768349,347.083073815097,340.533003999926,1.01923475768349,7285.21985459111,7147.73490569423
"245","2",1.01923475768349,333.558227966116,327.263395848297,1.01923475768349,7295.12385018644,7157.45199542324
"249","2",1.01923475768349,406.684157970956,399.00931056871,1.01923475768349,7196.80938678841,7060.99289936428
"268","2",1.01923475768349,308.859206055893,303.030488047588,1.01923475768349,7316.47108232459,7178.39636763703
"274","2",1.01923475768349,332.201501416934,325.932273122198,1.01923475768349,7292.18390161568,7154.56752886772
"279","2",3,904.268218994141,301.422739664714,3,21535.3090820312,7178.43636067708
"281","2",2,518.464782714844,259.232391357422,2,14454.7397460938,7227.36987304688
"296","2",1.01923475768349,264.897251172481,259.898172796361,1.01923475768349,7363.06012167039,7224.10618963297
"298","2",11,2634.49313354492,239.499375776811,12,87130.474609375,7260.87288411458
"310","2",1.01923475768349,223.748995125784,219.526456921778,1.01923475768349,7427.41026645078,7287.24193367555
"318","2",1.01923475768349,264.275548521307,259.288202770822,1.01923475768349,7360.15016967084,7221.25115356046
"342","2",2,743.115936279297,371.557968139648,1.01923475768349,7233.77543408219,7097.26133214201
"343","2",2,730.937225341797,365.468612670898,1.01923475768349,7242.26430361725,7105.59000173561
"344","2",2,711.073272705078,355.536636352539,1.01923475768349,7256.43684399434,7119.49508127715
"364","2",2,737.960510253906,368.980255126953,2,14196.3515625,7098.17578125
"376","2",1.01923475768349,223.424630270491,219.208213403445,1.01923475768349,7420.86147812406,7280.81673253581
"379","2",1.01923475768349,396.510663031355,389.027807423425,1.01923475768349,7190.69165909948,7054.99062398776
"384","2",1.01923475768349,259.974742006176,255.06856006073,1.01923475768349,7356.47491287414,7217.64525534222
"387","2",1.01923475768349,395.659554735028,388.192761041901,1.01923475768349,7192.04772053055,7056.3210941477
"413","2",3,759.458389282227,253.152796427409,3,21641.3779296875,7213.79264322917
"415","2",1.01923475768349,226.307866148767,222.03703753502,1.01923475768349,7401.97603223159,7262.28768831896
"430","2",1.01923475768552,258.886139137743,254.000501048083,1.01923475768552,7350.64830372773,7211.92860457349
"431","2",1.01923475768349,231.973836029955,227.596080570469,1.01923475768349,7388.92701080748,7249.48492494601
"442","2",2,591.859344482422,295.929672241211,2,14330.0859375,7165.04296875
"473","2",1.01923475768349,223.923955044335,219.698115038058,1.01923475768349,7396.15560323378,7256.57710108286
"475","2",2,760.716766357422,380.358383178711,2,14092.8017578125,7046.40087890625
"483","2",3,746.663925170898,248.887975056966,3,21627.8393554688,7209.27978515625
"486","2",4,881.093063354492,220.273265838623,4,29012.7744140625,7253.19360351562
"501","2",1.01923475768349,254.445616381517,249.643778789313,1.01923475768349,7345.52003900754,7206.89711926855
"511","2",2,494.875076293945,247.437538146973,2,14413.5903320312,7206.79516601562
"513","2",1.01923475768349,225.866366595819,221.603869857387,1.01923475768349,7383.08687481568,7243.75500262166
"528","2",5,919.871673583984,183.974334716797,5,36477.6826171875,7295.5365234375
"532","2",1.01923475768349,382.633353377244,375.412387080371,1.01923475768349,7171.08406448756,7035.75305927158
